Time	[STAT5]	[STAT5p]	[STAT5p2c]	[data1]	[data2]	[frac_v1]	[frac_v2]	[frac_v4]	[STAT5p2n]	[frac_v3]	Values[r4]	Values[D]	Values[smooth_D]	Values[smooth_D_slope]	Values[smooth_D_offset]
39.6	0.316955	0.356784	0.0647947	0.486374	0.803329	0.266349	0.299819	0.16527	0.0983355	0.108899	1.35	0.0260632	0.0260632	-0.002558	0.12736
40.2	0.3277	0.352775	0.0633831	0.479541	0.807241	0.275378	0.29645	0.161982	0.0963793	0.106526	1.35	0.0247718	0.0247718	-0.001341	0.07868
40.8	0.336483	0.3503	0.0621892	0.474678	0.811161	0.282759	0.294369	0.158688	0.0944196	0.10452	1.35	0.0239672	0.0239672	-0.001341	0.07868
41.4	0.34374	0.348206	0.0613029	0.470812	0.814551	0.288857	0.29261	0.155839	0.0927243	0.10303	1.35	0.0231626	0.0231626	-0.001341	0.07868
42	0.350551	0.345875	0.060496	0.466867	0.817418	0.294581	0.290651	0.15343	0.091291	0.101674	1.35	0.022358	0.022358	-0.001341	0.07868
42.6	0.357479	0.343272	0.0596495	0.462571	0.82005	0.300403	0.288464	0.151218	0.089975	0.100251	1.35	0.0215534	0.0215534	-0.001341	0.07868
43.2	0.364723	0.340468	0.0587406	0.457949	0.822672	0.30649	0.286107	0.149015	0.0886641	0.0987237	1.35	0.0207488	0.0207488	-0.001341	0.07868
43.8	0.372321	0.337508	0.0577778	0.453064	0.825385	0.312875	0.28362	0.146735	0.0873076	0.0971056	1.35	0.0199442	0.0199442	-0.001341	0.07868
44.4	0.380276	0.334403	0.05677	0.447942	0.828218	0.319559	0.281011	0.144354	0.0858909	0.0954117	1.35	0.0191396	0.0191396	-0.001341	0.07868
45	0.388592	0.331143	0.0557202	0.442584	0.831176	0.326548	0.278272	0.141869	0.0844122	0.0936475	1.35	0.018335	0.018335	-0.001341	0.07868
45.6	0.397285	0.327717	0.0546279	0.436972	0.834257	0.333853	0.275392	0.13928	0.0828714	0.0918116	1.35	0.0175304	0.0175304	-0.001341	0.07868
46.2	0.40638	0.324107	0.0534902	0.431087	0.837467	0.341496	0.272358	0.136583	0.0812666	0.0898996	1.35	0.0167258	0.0167258	-0.001341	0.07868
46.8	0.415906	0.320296	0.0523042	0.424904	0.84081	0.349501	0.269156	0.133773	0.0795948	0.0879062	1.35	0.0159212	0.0159212	-0.001341	0.07868
47.4	0.425896	0.316267	0.0510664	0.4184	0.844297	0.357896	0.265771	0.130843	0.0778517	0.0858259	1.35	0.0151166	0.0151166	-0.001341	0.07868
48	0.436387	0.312001	0.0497735	0.411548	0.847934	0.366711	0.262185	0.127786	0.0760329	0.083653	1.35	0.014312	0.014312	-0.001341	0.07868
48.6	0.447417	0.307473	0.0484218	0.404317	0.851733	0.37598	0.258381	0.124594	0.0741333	0.0813813	1.35	0.0135074	0.0135074	-0.001341	0.07868
49.2	0.459031	0.30266	0.0470074	0.396674	0.855705	0.38574	0.254336	0.121256	0.0721475	0.079004	1.35	0.0127028	0.0127028	-0.001341	0.07868
49.8	0.471278	0.297531	0.0455259	0.388582	0.85986	0.396032	0.250026	0.117765	0.0700699	0.0765141	1.35	0.0118982	0.0118982	-0.001341	0.07868
50.4	0.484016	0.292222	0.0439843	0.380191	0.864207	0.406736	0.245565	0.114112	0.0678964	0.0739232	1.35	0.0111648	0.0111648	-0.001163	0.06978
51	0.496747	0.287017	0.0424547	0.371926	0.868673	0.417434	0.241191	0.110359	0.0656635	0.0713524	1.35	0.010467	0.010467	-0.001163	0.06978
51.6	0.509675	0.281622	0.0409328	0.363487	0.873163	0.428299	0.236657	0.106586	0.0634187	0.0687946	1.35	0.0097692	0.0097692	-0.001163	0.06978
52.2	0.523049	0.275888	0.0393768	0.354641	0.87769	0.439537	0.231838	0.102781	0.061155	0.0661795	1.35	0.0090714	0.0090714	-0.001163	0.06978
